major_region,sub_region,broad_landform,area_ha,percentage_mh
Deccan Plateau,North Deccan Plateau,"Pediplains, alluvial plains, plateaus, valleys",23818471,80.13
Coastal Plains,West Coast,"Estuaries, creeks, coastal alluvial plains",2470901,8.31
Hill Ranges (Ghats),Western Ghats,"Ridges, steep escarpments, dissected plateaus",3017089,10.15
Deccan Plateau,South Deccan Plateau,"Undulating pediplains, granite landforms",377877,1.27
Eastern Plateau,Dandakaranya,"Metamorphic hills, rolling plains",35223,0.12
Eastern Plateau,Mahanadi Basin,Alluvial basin plains,1119,0.004
